url,dt,strong,p
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,기본 사양,색상,그레이지
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,기본 사양,전원,220 V/60 Hz
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,기본 사양,세탁 용량,25 kg
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,기본 사양,건조 용량,15 kg
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,기본 사양,에너지 소비효율,1 등급
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,기본 사양,소비전력,가열세탁 시 2100 W / 건조 1000 W
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,기본 사양,무게,144 kg
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,기본 사양,크기(폭 × 높이 × 깊이),"686 × 1,110 × 875 mm"
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,외관 사양,도어 타입,강화유리
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,외관 사양,디스플레이,Color LCD (109.22mm)
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,외관 사양,드럼 패턴,스월 드럼
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,주요기능,버블,있음
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,주요기능,초강력 워터샷,있음
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,주요기능,세제자동투입,있음
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,주요기능,직수 파워 오토 클린,있음
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,주요기능,오토 오픈 도어,없음
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,주요기능,음성인식,있음
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,주요기능,스마트컨트롤,있음
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,주요기능,세탁 온도 조절,있음
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,주요기능,헹굼 횟수 조절,있음
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,주요기능,예약 기능,있음
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,주요기능,버튼 잠금,있음
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,주요기능,버블 불림,있음
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,주요기능,세탁물 추가,있음
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,주요기능,기기관리 코스,"무세제통세척+, 열풍내부케어"
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,주요기능,드럼라이트,있음
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,주요기능,AI 진동소음 저감 시스템,없음
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,주요기능,진동소음 저감 시스템,있음
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,주요기능,세탁 및 건조코스,"표준, AI 맞춤, 쾌속, 미세플라스틱저감, 이불, 퍼실 딥 클린, 섬세의류, 울, 타월, 데님, 셔츠, 아기옷, 펫케어, 살균, 헹굼+탈수, 탈수 단독, 이불/먼지털기, 패딩케어, 시간건조, 송풍건조, 기기 관리"
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,스마트,WiFi 내장,지원
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,스마트,SmartThings Hub,미지원
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,앱 연결,SmartThings 모바일 앱 지원,지원
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,안전인증정보,인증구분,KC 안전인증
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,안전인증정보,인증기관,한국기계전기전자 시험연구원
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,안전인증정보,인증번호,HE07020-24167
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,EMC/RF모듈,인증기관,국립전파연구원
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,EMC/RF모듈,인증번호,"R-C-SEC-WCP730M, R-R-SEC-WD8000DM"
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,기본정보,제조자/수입자,삼성전자(주)
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,기본정보,제조국,한국
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,기본정보,동일모델의 출시년월,2025년 6월
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,상품 기본정보,제품명,전기 세탁기/건조기
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,상품 기본정보,제조자/수입자,삼성전자(주)
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,상품 기본정보,제조국가,한국
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,상품 기본정보,KC 인증 필 유무,"HE07020-24167, R-C-SEC-WCP730M, R-R-SEC-WD8000DM"
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,상품 기본정보,동일모델의 출시년월,2025년 6월
https://www.samsung.com/sec/laundry-combo/combo-wd80f25chy-d2c/WD80F25CHY/,상품 기본정보,A/S 책임자와 전화번호,삼성전자서비스센터 / 1588-3366
